Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2016","2016","1000 US$","1751","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2017","2017","1000 US$","1634","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2018","2018","1000 US$","1564","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2019","2019","1000 US$","1605","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01929.06","Agave fibres, raw, n.e.c.","2020","2020","1000 US$","1692","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2010","2010","1000 US$","7975","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2011","2011","1000 US$","6210","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2012","2012","1000 US$","8683","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2013","2013","1000 US$","6859","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2014","2014","1000 US$","6163","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2015","2015","1000 US$","5417","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2016","2016","1000 US$","2936","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2017","2017","1000 US$","2731","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2018","2018","1000 US$","2310","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2019","2019","1000 US$","2125","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01211","Asparagus","2020","2020","1000 US$","1707","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2010","2010","1000 US$","6681","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2011","2011","1000 US$","6693","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2012","2012","1000 US$","8749","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2013","2013","1000 US$","8107","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2014","2014","1000 US$","8657","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2015","2015","1000 US$","7285","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2016","2016","1000 US$","8267","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2017","2017","1000 US$","7687","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2018","2018","1000 US$","8735","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2019","2019","1000 US$","9629","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01311","Avocados","2020","2020","1000 US$","10467","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2010","2010","1000 US$","1989355","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2011","2011","1000 US$","1953490","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2012","2012","1000 US$","2105196","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2013","2013","1000 US$","2213742","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2014","2014","1000 US$","1542876","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2015","2015","1000 US$","1575325","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2016","2016","1000 US$","1686791","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2017","2017","1000 US$","1613024","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2018","2018","1000 US$","1681727","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2019","2019","1000 US$","1649876","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01312","Bananas","2020","2020","1000 US$","1661944","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2010","2010","1000 US$","31715","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2011","2011","1000 US$","42789","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2012","2012","1000 US$","36107","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2013","2013","1000 US$","37833","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2014","2014","1000 US$","39106","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2015","2015","1000 US$","42011","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2016","2016","1000 US$","38653","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2017","2017","1000 US$","39608","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2018","2018","1000 US$","41627","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2019","2019","1000 US$","41528","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01701","Beans, dry","2020","2020","1000 US$","44168","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2010","2010","1000 US$","22986","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2011","2011","1000 US$","46030","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2012","2012","1000 US$","40851","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2013","2013","1000 US$","43302","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2014","2014","1000 US$","44607","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2015","2015","1000 US$","55673","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2016","2016","1000 US$","50354","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2017","2017","1000 US$","44709","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2018","2018","1000 US$","63694","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2019","2019","1000 US$","60371","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01212","Cabbages","2020","2020","1000 US$","63117","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2010","2010","1000 US$","4030","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2011","2011","1000 US$","4145","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2012","2012","1000 US$","4054","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2013","2013","1000 US$","3705","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2014","2014","1000 US$","3732","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2015","2015","1000 US$","3486","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2016","2016","1000 US$","3555","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2017","2017","1000 US$","3331","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2018","2018","1000 US$","3646","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2019","2019","1000 US$","3280","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01229","Cantaloupes and other melons","2020","2020","1000 US$","3681","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2010","2010","1000 US$","24282","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2011","2011","1000 US$","40220","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2012","2012","1000 US$","37368","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2013","2013","1000 US$","35814","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2014","2014","1000 US$","42939","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2015","2015","1000 US$","42257","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2016","2016","1000 US$","39213","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2017","2017","1000 US$","45607","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2018","2018","1000 US$","51299","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2019","2019","1000 US$","48980","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01251","Carrots and turnips","2020","2020","1000 US$","50373","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2010","2010","1000 US$","75895","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2011","2011","1000 US$","82688","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2012","2012","1000 US$","91931","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2013","2013","1000 US$","100085","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2014","2014","1000 US$","112279","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2015","2015","1000 US$","133890","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2016","2016","1000 US$","141114","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2017","2017","1000 US$","199919","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2018","2018","1000 US$","284694","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2019","2019","1000 US$","282350","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01372","Cashew nuts, in shell","2020","2020","1000 US$","363986","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2010","2010","1000 US$","266934","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2011","2011","1000 US$","326506","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2012","2012","1000 US$","373261","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2013","2013","1000 US$","424507","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2014","2014","1000 US$","373126","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2015","2015","1000 US$","324397","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2016","2016","1000 US$","364897","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2017","2017","1000 US$","433096","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2018","2018","1000 US$","380573","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2019","2019","1000 US$","426143","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01520.01","Cassava, fresh","2020","2020","1000 US$","495812","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2010","2010","1000 US$","25","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2011","2011","1000 US$","20","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2012","2012","1000 US$","18","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2013","2013","1000 US$","17","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2014","2014","1000 US$","17","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2015","2015","1000 US$","15","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2016","2016","1000 US$","13","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2017","2017","1000 US$","12","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2018","2018","1000 US$","12","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2019","2019","1000 US$","12","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01447","Castor oil seeds","2020","2020","1000 US$","11","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2010","2010","1000 US$","5201","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2011","2011","1000 US$","7834","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2012","2012","1000 US$","9811","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2013","2013","1000 US$","9043","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2014","2014","1000 US$","9154","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2015","2015","1000 US$","10956","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2016","2016","1000 US$","10317","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2017","2017","1000 US$","8376","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2018","2018","1000 US$","16937","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2019","2019","1000 US$","17997","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01213","Cauliflowers and broccoli","2020","2020","1000 US$","17672","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2010","2010","1000 US$","9907","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2011","2011","1000 US$","15309","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2012","2012","1000 US$","13184","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2013","2013","1000 US$","15002","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2014","2014","1000 US$","13806","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2015","2015","1000 US$","14804","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2016","2016","1000 US$","16375","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2017","2017","1000 US$","17636","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2018","2018","1000 US$","21139","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2019","2019","1000 US$","19188","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2020","2020","1000 US$","24989","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2010","2010","1000 US$","7799","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2011","2011","1000 US$","9956","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2012","2012","1000 US$","8408","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2013","2013","1000 US$","7278","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2014","2014","1000 US$","10486","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2015","2015","1000 US$","12152","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2016","2016","1000 US$","13584","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2017","2017","1000 US$","11621","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2018","2018","1000 US$","14406","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2019","2019","1000 US$","15911","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01640","Cocoa beans","2020","2020","1000 US$","18665","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2010","2010","1000 US$","1836078","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2011","2011","1000 US$","2833302","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2012","2012","1000 US$","2114983","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2013","2013","1000 US$","1917203","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2014","2014","1000 US$","2364903","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2015","2015","1000 US$","2098745","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2016","2016","1000 US$","2282226","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2017","2017","1000 US$","2402671","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2018","2018","1000 US$","2309814","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2019","2019","1000 US$","1955532","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01460","Coconuts, in shell","2020","2020","1000 US$","2157982","E","Estimated value"
"QV","Value of Agricultural Production","608","Philippines","57","Gross Production Value (current thousand US$)","01610","Coffee, green","2010","2010","1000 US$","120643","E","Estimated value"
